"ID" "Perioden" "PrijsindexBestaandeKoopwoningen_1" "OntwikkelingTOVVoorgaandePeriode_2" "OntwikkelingTOVEenJaarEerder_3" "AantalVerkochteWoningen_4" "OntwikkelingTOVVoorgaandePeriode_5" "OntwikkelingTOVEenJaarEerder_6" "GemiddeldeVerkoopprijs_7" "TotaleWaardeVerkoopprijzen_8" "Perioden_C"
203 "2006JJ00" 98.7 4.6 4.6 209767 1.5 1.5 235843 49472 "2006"
204 "2007MM01" 100.8 0.8 4.4 13419 -37.9 -1.8 243160 3263 "2007 januari"
205 "2007MM02" 100.9 0.1 3.8 14487 8 -7.7 240094 3478 "2007 februari"
206 "2007MM03" 101.5 0.6 4.1 17349 19.8 -4.4 244056 4234 "2007 maart"
207 "2007KW01" 101 1.1 4.1 45255 -18 -4.8 242522 10975 "2007 1e kwartaal"
208 "2007MM04" 101.8 0.3 4 15646 -9.8 -3.7 244148 3820 "2007 april"
209 "2007MM05" 102.3 0.5 4.2 17419 11.3 -5.7 246215 4289 "2007 mei"
210 "2007MM06" 102.7 0.3 4.1 17358 -0.4 -6.1 247323 4293 "2007 juni"
211 "2007KW02" 102.3 1.2 4.1 50423 11.4 -5.2 245955 12402 "2007 2e kwartaal"
212 "2007MM07" 103.3 0.6 4.1 18221 5 -3.2 249941 4554 "2007 juli"
213 "2007MM08" 104.3 0.9 4.7 19554 7.3 8.3 257921 5043 "2007 augustus"
214 "2007MM09" 103.9 -0.4 4.3 14386 -26.4 -15.4 252650 3635 "2007 september"
215 "2007KW03" 103.8 1.5 4.4 52161 3.4 -3.2 253679 13232 "2007 3e kwartaal"
216 "2007MM10" 104.1 0.2 4.3 16833 17 -0.9 251238 4229 "2007 oktober"
217 "2007MM11" 104.5 0.4 4.4 18067 7.3 9 252031 4553 "2007 november"
218 "2007MM12" 104 -0.5 4 19662 8.8 -9 247650 4869 "2007 december"
219 "2007KW04" 104.2 0.3 4.2 54562 4.6 -1.1 250208 13652 "2007 4e kwartaal"
220 "2007JJ00" 102.8 4.2 4.2 202401 -3.5 -3.5 248325 50261 "2007"
221 "2008MM01" 105.3 1.3 4.5 12192 -38 -9.1 252858 3083 "2008 januari"
222 "2008MM02" 105.3 0 4.4 15081 23.7 4.1 256717 3872 "2008 februari"
223 "2008MM03" 105.7 0.3 4.1 13698 -9.2 -21 250160 3427 "2008 maart"
224 "2008KW01" 105.4 1.2 4.4 40971 -24.9 -9.5 253376 10381 "2008 1e kwartaal"
225 "2008MM04" 105.7 0 3.9 18474 34.9 18.1 255294 4716 "2008 april"
226 "2008MM05" 105.3 -0.4 2.9 13871 -24.9 -20.4 252098 3497 "2008 mei"
227 "2008MM06" 105.6 0.3 2.8 15669 13 -9.7 252710 3960 "2008 juni"
228 "2008KW02" 105.5 0.1 3.2 48014 17.2 -4.8 253527 12173 "2008 2e kwartaal"
229 "2008MM07" 106.5 0.9 3.1 17597 12.3 -3.4 258178 4543 "2008 juli"
230 "2008MM08" 107 0.5 2.6 15469 -12.1 -20.9 261948 4052 "2008 augustus"
231 "2008MM09" 106.6 -0.3 2.7 15374 -0.6 6.9 258314 3971 "2008 september"
232 "2008KW03" 106.7 1.1 2.8 48440 0.9 -7.1 259425 12567 "2008 3e kwartaal"
233 "2008MM10" 106.4 -0.3 2.2 16568 7.8 -1.6 259137 4293 "2008 oktober"
234 "2008MM11" 105.6 -0.7 1.1 11619 -29.9 -35.7 245292 2850 "2008 november"
235 "2008MM12" 105.8 0.1 1.7 16780 44.4 -14.7 252145 4231 "2008 december"
236 "2008KW04" 105.9 -0.8 1.7 44967 -7.2 -17.6 252950 11374 "2008 4e kwartaal"
237 "2008JJ00" 105.9 3 3 182392 -9.9 -9.9 254918 46495 "2008"
238 "2009MM01" 106.3 0.5 0.9 8700 -48.2 -28.6 255906 2226 "2009 januari"
239 "2009MM02" 105.2 -1 -0.1 8906 2.4 -40.9 247830 2207 "2009 februari"
240 "2009MM03" 104.1 -1 -1.5 9612 7.9 -29.8 240130 2308 "2009 maart"
241 "2009KW01" 105.2 -0.7 -0.2 27218 -39.5 -33.6 247692 6742 "2009 1e kwartaal"
242 "2009MM04" 103.4 -0.7 -2.2 10073 4.8 -45.5 238277 2400 "2009 april"
243 "2009MM05" 102.6 -0.7 -2.5 10275 2 -25.9 236447 2429 "2009 mei"
244 "2009MM06" 101.6 -1.1 -3.8 9921 -3.4 -36.7 231684 2299 "2009 juni"
245 "2009KW02" 102.5 -2.5 -2.9 30269 11.2 -37 235495 7128 "2009 2e kwartaal"
246 "2009MM07" 101.7 0.1 -4.5 13237 33.4 -24.8 235361 3115 "2009 juli"
247 "2009MM08" 101 -0.6 -5.6 9572 -27.7 -38.1 231295 2214 "2009 augustus"
248 "2009MM09" 100.7 -0.3 -5.6 10425 8.9 -32.2 233504 2434 "2009 september"
249 "2009KW03" 101.1 -1.4 -5.2 33234 9.8 -31.4 233608 7764 "2009 3e kwartaal"
250 "2009MM10" 100.8 0.1 -5.2 11385 9.2 -31.3 238827 2719 "2009 oktober"
251 "2009MM11" 100.3 -0.5 -5 9970 -12.4 -14.2 233663 2330 "2009 november"
252 "2009MM12" 99.8 -0.6 -5.7 15456 55 -7.9 239605 3703 "2009 december"
253 "2009KW04" 100.3 -0.8 -5.3 36811 10.8 -18.1 237755 8752 "2009 4e kwartaal"
254 "2009JJ00" 102.3 -3.4 -3.4 127532 -30.1 -30.1 238259 30386 "2009"
255 "2010MM01" 100 0.2 -5.9 7708 -50.1 -11.4 240650 1855 "2010 januari"
256 "2010MM02" 100.3 0.3 -4.7 8892 15.4 -0.2 233902 2080 "2010 februari"
257 "2010MM03" 100.1 -0.2 -3.9 11145 25.3 15.9 236230 2633 "2010 maart"
258 "2010KW01" 100.1 -0.2 -4.8 27745 -24.6 1.9 236712 6568 "2010 1e kwartaal"
259 "2010MM04" 100.8 0.7 -2.5 11069 -0.7 9.9 241859 2677 "2010 april"
260 "2010MM05" 100.1 -0.8 -2.5 9893 -10.6 -3.7 236799 2343 "2010 mei"
261 "2010MM06" 99.9 -0.1 -1.6 10929 10.5 10.2 241017 2634 "2010 juni"
262 "2010KW02" 100.3 0.1 -2.2 31891 14.9 5.4 240001 7654 "2010 2e kwartaal"
263 "2010MM07" 100.5 0.6 -1.1 12240 12 -7.5 245245 3002 "2010 juli"
264 "2010MM08" 100.6 0.1 -0.4 10411 -14.9 8.8 242259 2522 "2010 augustus"
265 "2010MM09" 99.9 -0.7 -0.8 9747 -6.4 -6.5 245706 2395 "2010 september"
266 "2010KW03" 100.4 0.1 -0.8 32398 1.6 -2.5 244424 7919 "2010 3e kwartaal"
267 "2010MM10" 99.5 -0.4 -1.3 9950 2.1 -12.6 241580 2404 "2010 oktober"
268 "2010MM11" 99.2 -0.3 -1.1 10079 1.3 1.1 234732 2366 "2010 november"
269 "2010MM12" 98.9 -0.3 -0.9 14064 39.5 -9 234739 3301 "2010 december"
270 "2010KW04" 99.2 -1.1 -1.1 34093 5.2 -7.4 236733 8071 "2010 4e kwartaal"
271 "2010JJ00" 100 -2.2 -2.2 126127 -1.1 -1.1 239530 30211 "2010"
272 "2011MM01" 98.8 -0.1 -1.2 8368 -40.5 8.6 240983 2017 "2011 januari"
273 "2011MM02" 98.4 -0.4 -1.9 9558 14.2 7.5 234444 2241 "2011 februari"
274 "2011MM03" 98.9 0.5 -1.3 10432 9.1 -6.4 244661 2552 "2011 maart"
