"ID" "Perioden" "TotaalArbeidsongeschiktheidsuitkeringen_1" "WAOUitkeringen_2" "WajongUitkeringen_3" "WAZUitkeringen_4" "TotaalWIAUitkeringen_5" "IVAUitkeringen_6" "WGAUitkeringen_7" "NietSeizoengecorrigeerd_8" "Seizoengecorrigeerd_9" "TotaalWWBUitkeringen_10" "WWBUitkeringenTotDeAOWLeeftijd_11" "WWBUitkeringenVanafDeAOWLeeftijd_12" "IOAWUitkeringen_13" "IOAZUitkeringen_14" "AOWUitkeringen_15" "AnwUitkeringen_16" "AKWUitkeringen_17" "Perioden_C"
124 "2007MM08" 848.3 609.6 163 43.9 31.8 6.8 25.1 204.3 208 313.7 283.5 30.1 5.7 1.7 2643.1 126.3 NA "2007 augustus"
125 "2007MM09" 847 606 164 43.5 33.5 7.2 26.4 197.5 202.6 309.8 279.7 30.1 5.7 1.7 2649.6 125.6 1939.2 "2007 september"
126 "2007MM10" 846.5 603.2 164.9 43.2 35.3 7.6 27.7 193.6 199 307.2 276.8 30.4 5.6 1.7 2655.8 124.9 NA "2007 oktober"
127 "2007MM11" 847.3 601.2 166.1 43 37.1 8.1 29 192.3 195.5 305.8 275.3 30.5 5.6 1.7 2659.4 124.3 NA "2007 november"
128 "2007MM12" 846.6 598.9 166.6 42.8 38.4 8.4 29.9 192 192.1 304.7 273.9 30.7 5.6 1.7 2664.4 123.4 1927.6 "2007 december"
129 "2007JJ00" 852.4 617.9 161.1 44.6 28.8 6 22.7 217.3 NA 317.8 288.2 29.6 6 1.7 2632.2 127.6 1933.8 "2007"
130 "2008MM01" 846.5 596.2 167.6 42.5 40.3 8.9 31.4 196.1 189.4 303.7 272.7 31 5.7 1.7 2666.9 123.1 NA "2008 januari"
131 "2008MM02" 846.1 593.1 168.6 42.1 42.3 9.4 32.9 191.9 182.4 303.3 272 31.3 5.8 1.7 2670.7 122.5 NA "2008 februari"
132 "2008MM03" 844.7 589.8 169.3 41.7 43.8 9.8 34.1 185.6 179.2 302.5 270.9 31.6 5.8 1.6 2677.3 121.7 1934.2 "2008 maart"
133 "2008MM04" 844 586.9 170.3 41.4 45.4 10.1 35.2 179.4 176.5 302.3 270.4 31.9 5.9 1.6 2681.7 121.2 NA "2008 april"
134 "2008MM05" 843.3 583.7 171.4 41 47.2 10.6 36.6 173.9 174 301.7 269.5 32.2 5.9 1.6 2686.8 120.6 NA "2008 mei"
135 "2008MM06" 841.8 580.2 172.3 40.6 48.7 11.1 37.6 169.2 171.7 300.7 268.3 32.3 6 1.6 2692.8 119.9 1937.5 "2008 juni"
136 "2008MM07" 840.3 576.4 173.4 40.2 50.3 11.5 38.8 166.8 169.8 299.6 266.8 32.8 6 1.6 2700.8 119.2 NA "2008 juli"
137 "2008MM08" 838.7 572.1 174.6 39.9 52.2 11.9 40.2 165.2 168.3 297.8 264.9 32.9 6.1 1.6 2707.4 118.4 NA "2008 augustus"
